indice_tiempo,eph_continua_tasa_desempleo_total,eph_continua_tasa_desempleo_total_gba,eph_continua_tasa_desempleo_total_cuyo,eph_continua_tasa_desempleo_total_nordeste,eph_continua_tasa_desempleo_total_noroeste,eph_continua_tasa_desempleo_total_region_pampeana,eph_continua_tasa_desempleo_total_patagonia,eph_continua_tasa_desempleo_total_caba,eph_continua_tasa_desempleo_total_partidos_gba,eph_continua_tasa_desempleo_total_gran_mendoza,eph_continua_tasa_desempleo_total_gran_san_juan,eph_continua_tasa_desempleo_total_san_luis,eph_continua_tasa_desempleo_total_corrientes,eph_continua_tasa_desempleo_total_formosa,eph_continua_tasa_desempleo_total_gran_resistencia,eph_continua_tasa_desempleo_total_posadas,eph_continua_tasa_desempleo_total_gran_tucuman,eph_continua_tasa_desempleo_total_gran_catamarca,eph_continua_tasa_desempleo_total_jujuy,eph_continua_tasa_desempleo_total_la_rioja,eph_continua_tasa_desempleo_total_salta,eph_continua_tasa_desempleo_total_santiago_del_estero,eph_continua_tasa_desempleo_total_gran_cordoba,eph_continua_tasa_desempleo_total_gran_la_plata,eph_continua_tasa_desempleo_total_gran_rosario,eph_continua_tasa_desempleo_total_mar_del_plata,eph_continua_tasa_desempleo_total_concordia,eph_continua_tasa_desempleo_total_bahia_blanca,eph_continua_tasa_desempleo_total_gran_parana,eph_continua_tasa_desempleo_total_gran_santa_fe,eph_continua_tasa_desempleo_total_rio_cuarto,eph_continua_tasa_desempleo_total_santa_rosa,eph_continua_tasa_desempleo_total_san_nicolas,eph_continua_tasa_desempleo_total_comodoro_rivadavia,eph_continua_tasa_desempleo_total_neuquen,eph_continua_tasa_desempleo_total_rio_gallegos,eph_continua_tasa_desempleo_total_ushuaia_rio_grande,eph_continua_tasa_desempleo_total_rawson_trelew,eph_continua_tasa_desempleo_total_viedma_carmen_patagones
2003-07-01,0.1614696649200896,0.17448253785194606,0.1201071868362156,0.11281993263707694,0.14137693627865394,0.1632184150873242,0.08474832511910985,0.12987656479983678,0.19026622878133476,0.1258076396072421,0.13549252485992364,0.051499036187403445,0.1625557713719148,0.0853263594357647,0.089354188453902,0.10240402241659247,0.12805359604856306,0.18230514672744363,0.1314102282221538,0.09315646668676515,0.17181877505360305,0.13094553090368333,0.1459800232006043,0.14984805959754396,0.19015712079248104,0.17037256349619792,0.18552236017460128,0.14918956561285326,0.16280988109341407,0.19112730533153374,0.12240632930288102,0.08185854414042333,,0.12439465831825075,0.0749631944235796,0.014577638943121177,0.1024773352862446,,
2003-10-01,0.14447166942049336,0.15542752899957482,0.10949465111419836,0.09793027186991575,0.13667226790150377,0.14325914161378878,0.08834304888592144,0.11177362374299527,0.1710924988170248,0.12159829970477903,0.1197514084433977,0.023570392659157755,0.10556252346677106,0.042314088239879435,0.12352088867423328,0.09510933100202296,0.151602367268872,0.14233832265428414,0.06786410470620997,0.08472442281575374,0.17215313788597314,0.12255017189198719,0.11225393154184389,0.13716502115655854,0.16795541150273116,0.16102019084640276,0.182652955944561,0.15084112957864237,0.17196104858216482,0.14738575545491972,0.13182176473315713,0.06104217304166134,,0.12736637210824592,0.08313909848694347,0.024409118756650437,0.0939807976366322,,
2004-01-01,0.14276928695265867,0.14551373780516977,0.10968477702533942,0.10561567024015772,0.1530241437782097,0.15228242846835388,0.09393323013811955,0.11930709490790303,0.1548048474361888,0.1152199707799808,0.1294040967363823,0.03190734417888465,0.10357246213704621,0.08229815667608323,0.10340139927829695,0.1301209298482955,0.16459821205613545,0.17150455073223717,0.1059024728449272,0.08848224879072739,0.1851908444975754,0.13004175652732528,0.13299458963351168,0.1758588004765397,0.1708863907221945,0.1313611482150808,0.19916961990132723,0.17285659417506685,0.13573495134184058,0.15113888961531421,0.12546928073416364,0.11344916731798232,,0.10384252920571134,0.09889965677367252,0.02189365936878021,0.11981915676585007,,
2004-04-01,0.14653478151314453,0.15779997338880491,0.10284598205503102,0.08330934256364249,0.14110802428757224,0.1508194621220887,0.07293350370230038,0.11635419717129439,0.17288215701399634,0.10757577375739581,0.12417045246085615,0.027043133931054578,0.09855833733117586,0.05893962158445593,0.06279993144424131,0.11062927085679958,0.13825308278507464,0.12646220387299714,0.17393860786856896,0.10717777935237016,0.14456099400805567,0.1403827960119351,0.1584575898313371,0.14253253218079812,0.15321908460573197,0.13803474654538483,0.17504753282028068,0.16081995859091644,0.11983493364980041,0.17031286522078606,0.14771345936203212,0.0989321932379123,,0.07322554567502021,0.08977401129943503,0.020169851380042462,0.07256053938040627,,
2004-07-01,0.1313133934445161,0.1407897610168427,0.09902105871273573,0.0820598120193677,0.13810700298848838,0.12808674691554836,0.07225777586027819,0.0974948076113486,0.15567750428606417,0.1092493243946229,0.11367727436370183,0.010457693874779302,0.09930837777906008,0.05553820935133869,0.07254709242604512,0.09376453060798436,0.14294337761132514,0.15196163045890562,0.13761342267175433,0.08403073319813772,0.15405726955628263,0.12112578842637804,0.11996431045130561,0.13065370383806138,0.15479039757776736,0.12029364233400956,0.1674398987768874,0.1411068833323797,0.10044423661444939,0.12065977923160474,0.047657287580689996,0.06556221360592175,,0.08675098814229248,0.07180183946488294,0.009823240492926679,0.09847993811027245,,
2004-10-01,0.12021879282001109,0.13029907858262632,0.07048189385972659,0.07749249548801367,0.12209169350111647,0.11999739427500504,0.06421992104811489,0.07683319521877217,0.148241548290509,0.07573095711461253,0.08314249913584515,0.013467652148251486,0.09382926809627727,0.06649054966371862,0.07953412561517889,0.06354505227708815,0.1137694182681488,0.1199436359660844,0.17128585105940142,0.097670148054631,0.12364774084973246,0.1094253041008085,0.11557169877642569,0.10907241993716885,0.1406039909968651,0.13393435861174946,0.12110371209974496,0.1518226905050708,0.07193050193050193,0.09302954499357717,0.11055092125767715,0.0648633674337614,,0.07783859361945197,0.05296045402864431,0.027380805716397685,0.09642740353172008,,
2005-01-01,0.1291846311664872,0.14403896582831127,0.08161985679949078,0.08324626594468874,0.11877816854421089,0.12167699909850513,0.07881391058410474,0.11473090541418537,0.15417941322985182,0.08022466689000075,0.11518066750939865,0.010231966952653321,0.1081804131394993,0.05394053277329502,0.07544696691658365,0.08309795926002132,0.13857743629668864,0.1272623332077384,0.12033915362552207,0.08537140674804272,0.13042827601218981,0.06276616854670065,0.12225990037424903,0.1339245011102778,0.1361396776090595,0.12171827653816862,0.1296195317584563,0.10703256702122899,0.08456634517024697,0.10552003256938956,0.12923651603498543,0.046037307840317586,,0.0894574904512661,0.0864666654000342,0.022766875196389293,0.0900712531211303,,
2005-04-01,0.11964514734733,0.1330734250311578,0.08475617015144205,0.059346985958271474,0.10724112938226878,0.11586037885371611,0.07237880586159631,0.09334210143029582,0.14733814661121747,0.07623990678801607,0.129721706864564,0.019189974617733252,0.08356914541700876,0.0602198126429151,0.049888405631223535,0.04292912949008368,0.11079814293789257,0.11412763946230729,0.06376174637241237,0.08480474287923702,0.14304256695087442,0.08700734192935676,0.1223151170828435,0.11887978718417476,0.12321418467160346,0.12741277196428025,0.10766187050359713,0.10670452063769383,0.07210927573062262,0.10937561339457465,0.09313119661640713,0.05637370044322801,,0.06915991097103309,0.09029228557738381,0.01750473854387334,0.07851836566240199,,
2005-07-01,0.1112176719931428,0.12191846388155829,0.08012917841563637,0.05287211091919647,0.10969691219722237,0.10757100048682289,0.06943514792619833,0.07608642843444352,0.13738799727354936,0.08514476584580849,0.09872447972199186,0.011817132853220865,0.06843444920578665,0.056906417357373874,0.038674153707394424,0.050213142888778164,0.12925855989635848,0.11292389277241414,0.06483053256552497,0.07755294521135214,0.13606039164514855,0.07722523206217369,0.09364923066384677,0.10719378388763182,0.12066328756050967,0.1308852152870933,0.08827144002137323,0.08730066263744266,0.11824102122298492,0.11986217904299498,0.052002781049136595,0.06494810174867996,,0.07647096301487688,0.08180481093134696,0.012339779626714639,0.0751269035532995,,
2005-10-01,0.10035494804566995,0.10990558932706535,0.05563583815028902,0.056164538365917054,0.10004399453585765,0.10020183165994641,0.06442860645947207,0.07931798884499423,0.12050425975111612,0.061415230768023805,0.061824971174087355,0.012857992583874355,0.09291411360684605,0.03309692671394799,0.05225205666390119,0.03518013871546923,0.10660180297346457,0.09975450854499103,0.10035542055489446,0.06497880820725854,0.12806486083742635,0.06130544536602957,0.08543666213247872,0.1171472271002096,0.11511527250242912,0.11941110926113295,0.1301236499192864,0.10106929572430637,0.057422713146222014,0.07886383191790344,0.06341721453940906,0.05860698843052472,,0.09308082878677978,0.060386073297408964,0.010262320272198441,0.07578495819514229,,
